Number,Home Goals game 1,Away goals game 1,Total goals 1,Home Goals game 2,Away goals game 2,Total goals 2
1,3,0,3,2,1,3
2,0,2,2,2,1,3
3,3,0,3,0,0,0
4,2,3,5,3,1,4
5,1,2,3,1,2,3
6,1,0,1,1,1,2
7,1,0,1,4,0,4
8,3,1,4,1,3,4
9,0,2,2,1,0,1
10,5,3,8,3,1,4
11,2,4,6,0,0,0
12,2,1,3,2,0,2
13,0,0,0,1,0,1
14,1,0,1,2,1,3
15,1,0,1,2,2,4
16,2,1,3,2,0,2
17,2,0,2,3,0,3
18,2,2,4,1,0,1
19,2,1,3,1,2,3
20,1,0,1,1,2,3
21,2,3,5,1,0,1
22,0,2,2,2,0,2
23,2,2,4,2,2,4
24,0,2,2,3,1,4
25,0,0,0,0,0,0
26,1,3,4,0,0,0
27,2,1,3,1,1,2
28,3,0,3,3,2,5
29,1,0,1,0,0,0
30,0,0,0,1,0,1
31,1,3,4,2,0,2
32,3,1,4,6,1,7
33,0,0,0,7,0,7
34,1,1,2,1,1,2
35,0,2,2,3,4,7
36,1,1,2,4,0,4
37,1,2,3,1,0,1
38,2,1,3,0,3,3
39,1,0,1,1,0,1
40,1,3,4,0,2,2
41,0,0,0,1,3,4
42,1,0,1,0,4,4
43,1,1,2,3,1,4
44,1,1,2,1,0,1
45,3,0,3,2,0,2
46,3,1,4,2,0,2
47,0,2,2,2,1,3
48,0,2,2,1,1,2
49,0,1,1,4,1,5
50,2,4,6,1,2,3
51,2,0,2,3,0,3
52,1,1,2,2,0,2
53,4,1,5,2,0,2
54,2,2,4,1,1,2
55,2,0,2,0,2,2
56,3,0,3,3,2,5
57,0,0,0,3,2,5
58,1,2,3,1,1,2
59,0,3,3,2,0,2
60,2,2,4,3,0,3
61,1,1,2,1,2,3
62,1,0,1,2,0,2
63,1,3,4,0,2,2
64,1,1,2,2,3,5
65,2,0,2,4,0,4
66,2,1,3,2,1,3
67,1,0,1,2,2,4
68,0,1,1,2,1,3
69,0,3,3,5,2,7
70,0,2,2,2,0,2
71,0,0,0,3,1,4
72,1,0,1,1,0,1
73,1,3,4,7,1,8
74,3,2,5,2,0,2
75,1,1,2,4,1,5
76,3,1,4,3,1,4
77,1,0,1,2,1,3
78,1,0,1,7,0,7
79,0,2,2,4,1,5
80,0,2,2,1,1,2
81,2,5,7,2,1,3
82,0,1,1,2,1,3
83,1,1,2,3,1,4
84,0,1,1,0,0,0
85,2,3,5,3,0,3
86,2,1,3,3,1,4
87,1,1,2,3,0,3
88,0,2,2,0,0,0
89,0,0,0,2,1,3
90,0,1,1,2,3,5
91,3,1,4,1,0,1
92,1,0,1,0,3,3
93,3,1,4,1,0,1
94,2,1,3,3,2,5
95,1,0,1,0,1,1
96,2,2,4,4,1,5
97,1,0,1,1,1,2
98,2,3,5,4,0,4
99,2,1,3,5,0,5
100,2,1,3,3,2,5
101,1,1,2,4,0,4
102,0,1,1,2,1,3
103,1,1,2,1,2,3
104,2,1,3,0,1,1
105,0,0,0,1,1,2
106,1,0,1,1,3,4
107,1,1,2,3,0,3
108,2,2,4,0,1,1
109,1,3,4,4,4,8
110,1,1,2,5,2,7
111,0,0,0,2,0,2
112,2,2,4,0,0,0
113,1,0,1,1,0,1
114,1,1,2,2,2,4
115,0,1,1,4,0,4
116,1,0,1,2,2,4
117,4,1,5,3,1,4
118,0,1,1,1,1,2
119,2,1,3,2,1,3
120,3,2,5,1,1,2
121,1,1,2,1,1,2
122,2,0,2,2,0,2
123,1,1,2,1,0,1
124,2,1,3,2,0,2
125,0,1,1,1,0,1
126,1,1,2,2,2,4
127,1,1,2,4,1,5
128,4,2,6,2,1,3
129,2,5,7,1,1,2
130,2,1,3,0,2,2
131,1,0,1,3,0,3
