Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
1,Champions League,1617,Semifinal,Real Madrid,Atl. Madrid,1.81,3.54,5.41,-190.2074761,3,0,1,3,Atl. Madrid,Real Madrid,2.64,3.67,2.72,-5.185990866,2,1,1,1
2,Champions League,1617,Semifinal,Monaco,Juventus,3.13,3.35,2.48,40.43706269,0,2,2,-2,Juventus,Monaco,1.64,4.01,6.22,-231.5786147,2,1,1,1
3,Champions League,1617,Quarterfinal,Juventus ,Barcelona,2.71,3.41,2.8,-5.675496187,3,0,1,3,Barcelona,Juventus ,1.47,5.22,6.83,-266.8413476,0,0,X,0
4,Champions League,1617,Quarterfinal,Dortmund,Monaco,1.53,5.14,5.87,-233.5786682,2,3,2,-1,Monaco,Dortmund,3.04,4.19,2.21,55.39252397,3,1,1,2
5,Champions League,1617,Quarterfinal,Bayern Munich,Real Madrid,1.68,4.47,4.94,-187.3670669,1,2,2,-1,Real Madrid,Bayern Munich,2.66,3.97,2.55,7.336582479,1,2,2,-1
6,Champions League,1617,Quarterfinal,Atl. Madrid,Leicester,1.32,5.53,12.17,-385.8866588,1,0,1,1,Leicester,Atl. Madrid,4.62,3.89,1.83,160.8763543,1,1,X,0
7,Champions League,1617,1/8-final,Benfica,Dortmund,3.3,3.39,2.37,57.50623755,1,0,1,1,Dortmund,Benfica,1.28,6.65,11.29,-378.1935889,4,0,1,4
8,Champions League,1617,1/8-final,Real Madrid,Napoli,1.57,4.5,6.25,-239.992146,3,1,1,2,Napoli,Real Madrid,3,4.05,2.27,48.43815901,1,3,2,-2
9,Champions League,1617,1/8-final,FC Porto,Juventus,3.09,2.99,2.75,20.25031424,0,2,2,-2,Juventus,FC Porto,1.79,3.58,5.5,-195.0038634,1,0,1,1
10,Champions League,1617,1/8-final,Manchester City ,Monaco,1.6,4.4,6.03,-230.4789318,5,3,1,2,Monaco,Manchester City ,2.95,3.9,2.35,39.50166148,3,1,1,2
11,Champions League,1617,1/8-final,Bayer Leverkusen,Atl. Madrid,3.05,3.1,2.7,21.17443008,2,4,2,-2,Atl. Madrid,Bayer Leverkusen,1.52,4.61,6.98,-264.8047339,0,0,X,0
12,Champions League,1617,1/8-final,Sevilla,Leicester,1.38,5.23,9.81,-340.7159684,2,1,1,1,Leicester,Sevilla,3.11,3.61,2.37,47.20481721,2,0,1,2
13,Champions League,1516,Semifinal,Manchester City ,Real Madrid,2.57,3.3,3.05,-29.74668641,0,0,X,0,Real Madrid,Manchester City ,1.49,4.89,6.91,-266.5167116,1,0,1,1
14,Champions League,1516,Semifinal,Atl. Madrid,Bayern Munich,3.28,2.97,2.64,37.70796674,1,0,1,1,Bayern Munich,Atl. Madrid,1.56,4.15,7.19,-265.4417168,2,1,1,1
15,Champions League,1516,Quarterfinal,Bayern Munich,Benfica,1.24,6.9,14.99,-432.9519791,1,0,1,1,Benfica,Bayern Munich,7.23,4.26,1.55,267.5226396,2,2,X,0
16,Champions League,1516,Quarterfinal,Barcelona,Atl. Madrid,1.54,4.15,7.72,-280.0386318,2,1,1,1,Atl. Madrid,Barcelona,3.11,3.5,2.42,43.57800922,2,0,1,2
17,Champions League,1516,Quarterfinal,Wolfsburg,Real Madrid,5.41,4.45,1.64,207.3413668,2,0,1,2,Real Madrid,Wolfsburg,1.19,8.7,16.2,-453.5872213,3,0,1,3
18,Champions League,1516,Quarterfinal,Paris SG,Manchester City,1.71,4,5.42,-200.4012705,2,2,X,0,Manchester City,Paris SG,2.93,3.61,2.49,28.2673093,1,0,1,1
19,Champions League,1516,1/8-final,Paris SG,Chelsea,1.62,3.97,6.62,-244.53719,2,1,1,1,Chelsea,Paris SG,2.95,3.46,2.55,25.31273422,1,2,2,-1
20,Champions League,1516,1/8-final,Benfica,Zenit Petersburg,2.07,3.46,4.02,-115.3022831,1,0,1,1,Zenit Petersburg,Benfica,2.16,3.55,3.64,-90.659053,1,2,2,-1
21,Champions League,1516,1/8-final,Gent ,Wolfsburg,3.36,3.3,2.39,59.17655058,2,3,2,-1,Wolfsburg,Gent ,1.54,4.57,6.51,-250.4241071,1,0,1,1
22,Champions League,1516,1/8-final,AS Roma,Real Madrid,4.32,3.8,1.9,142.6920583,0,2,2,-2,Real Madrid,AS Roma,1.36,5.89,8.5,-318.3520069,2,0,1,2
23,Champions League,1516,1/8-final,Juventus ,Bayern Munich,3.73,3.2,2.27,86.27318985,2,2,X,0,Bayern Munich,Juventus ,1.48,4.55,8.08,-294.8598582,2,2,X,0
24,Champions League,1516,1/8-final,Arsenal,Barcelona,4.12,3.73,1.96,129.0564579,0,2,2,-2,Barcelona,Arsenal,1.24,7.5,12.4,-400,3,1,1,2
25,Champions League,1516,1/8-final,PSV ,Atl. Madrid,5.06,3.29,1.93,167.4372831,0,0,X,0,Atl. Madrid,PSV ,1.33,5.28,12.46,-388.6665605,0,0,X,0
26,Champions League,1516,1/8-final,Dyn. Kiev,Manchester City,3.44,3.12,2.45,58.95694328,1,3,2,-2,Manchester City,Dyn. Kiev,1.44,4.7,8.7,-312.4627042,0,0,X,0
27,Champions League,1415,Semifinal,Juventus ,Real Madrid,2.67,3.18,3.03,-21.97254686,2,1,1,1,Real Madrid,Juventus ,1.66,4.27,5.41,-205.2356708,1,1,X,0
28,Champions League,1415,Semifinal,Barcelona,Bayern Munich,1.77,3.95,4.95,-178.652773,3,0,1,3,Bayern Munich,Barcelona,2.49,3.76,2.81,-21.00278912,3,2,1,1
29,Champions League,1415,Quarterfinal,Juventus ,Monaco,1.53,3.95,8.65,-300.9298707,1,0,1,1,Monaco,Juventus ,4.17,3.15,2.16,114.2729215,0,0,X,0
30,Champions League,1415,Quarterfinal,Atl. Madrid,Real Madrid,2.96,3.3,2.64,19.87511368,0,0,X,0,Real Madrid,Atl. Madrid,2.02,3.43,4.29,-130.8423691,1,0,1,1
